City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,anadyr,64.75,177.4833,28.9,74,20,6.71,RU,1681950320
1,vilyuchinsk,52.9306,158.4028,43.07,90,100,6.04,RU,1681950320
2,badger,64.8,-147.5333,39.07,41,20,0.0,US,1681950321
3,college,64.8569,-147.8028,39.15,41,20,0.0,US,1681950248
4,port-aux-francais,-49.35,70.2167,40.69,68,18,34.67,TF,1681950321
5,callao,-12.0667,-77.15,76.71,69,0,20.71,PE,1681950321
6,wailua homesteads,22.0669,-159.378,79.75,66,40,16.11,US,1681950322
7,yugorsk,61.3133,63.3319,23.54,90,85,5.01,RU,1681950322
8,blackmans bay,-43.0167,147.3167,59.13,78,97,7.36,AU,1681950323
9,port mathurin,-19.6833,63.4167,78.84,76,10,20.6,MU,1681950323
10,inirida,3.8653,-67.9239,78.35,76,92,1.95,CO,1681950323
11,ballarat east,-37.5592,143.8744,55.6,80,44,1.99,AU,1681950324
12,adamstown,-25.066,-130.1015,75.94,76,96,1.95,PN,1681950324
13,waitangi,-43.9535,-176.5597,63.82,89,94,10.0,NZ,1681950324
14,ushuaia,-54.8,-68.3,42.46,61,20,13.8,AR,1681950166
15,puerto ayora,-0.7393,-90.3518,74.55,100,100,4.0,EC,1681950171
16,grytviken,-54.2811,-36.5092,38.61,95,100,3.8,GS,1681950325
17,bamboo flat,11.7,92.7167,81.32,76,29,7.0,IN,1681950325
18,shalqar,47.8333,59.6,47.07,37,80,7.25,KZ,1681950326
19,piti village,13.4626,144.6933,85.69,69,53,17.96,GU,1681950326
20,chonchi,-42.6128,-73.8092,56.41,99,95,1.79,CL,1681950326
21,kirovsk,48.6375,38.6428,47.68,80,78,12.53,UA,1681950327
22,adrar,20.5022,-10.0711,80.01,20,100,7.23,MR,1681950327
23,port elizabeth,-33.918,25.5701,67.32,84,0,5.75,ZA,1681950074
24,west island,-12.1568,96.8225,80.58,94,40,12.66,CC,1681950328
25,chake chake,-5.2459,39.7666,76.82,91,75,9.24,TZ,1681950328
26,longyearbyen,78.2186,15.6401,12.04,79,20,4.61,SJ,1681950168
27,kuta,-8.7233,115.1723,82.35,83,40,5.99,ID,1681950330
28,kampene,-3.6,26.6667,69.28,99,99,1.1,CD,1681950330
29,tympaki,35.0729,24.7685,58.77,63,0,5.01,GR,1681950330
30,lira,2.235,32.9097,65.61,94,93,3.09,UG,1681950331
31,ribeira grande,38.5167,-28.7,53.78,72,70,4.0,PT,1681950331
32,ketchikan,55.3422,-131.6461,48.67,57,100,14.97,US,1681950331
33,oltinko'l,40.8011,72.1634,52.09,37,59,2.08,UZ,1681950332
34,keflavik,64.0049,-22.5624,46.31,100,75,21.85,IS,1681950332
35,sidareja,-7.4846,108.7923,78.85,88,80,0.45,ID,1681950332
36,port douglas,-16.4833,145.4667,79.95,73,28,9.93,AU,1681950333
37,gizo,-8.103,156.8419,82.72,64,35,3.29,SB,1681950333
38,georgetown,5.4112,100.3354,78.73,94,40,4.61,MY,1681950151
39,kodiak,57.79,-152.4072,44.11,57,100,9.22,US,1681950184
40,gunjur,13.2019,-16.7339,73.47,73,0,4.61,GM,1681950334
41,haiku-pauwela,20.9219,-156.3051,76.05,94,100,13.8,US,1681950334
42,edinburgh of the seven seas,-37.0676,-12.3116,65.08,81,100,25.81,SH,1681950334
43,qaqortoq,60.7167,-46.0333,31.53,92,83,2.08,GL,1681950189
44,thompson,55.7435,-97.8558,32.16,51,75,12.66,CA,1681950335
45,falam,22.9167,93.6833,63.43,55,0,3.2,MM,1681950335
46,puerto natales,-51.7236,-72.4875,46.2,81,78,10.33,CL,1681950243
47,hermanus,-34.4187,19.2345,56.8,60,100,9.22,ZA,1681950335
48,poxoreo,-15.8372,-54.3892,72.34,96,100,1.68,BR,1681950336
49,carnarvon,-24.8667,113.6333,73.89,44,78,16.24,AU,1681950336
50,korla,41.7597,86.1469,45.54,25,99,6.29,CN,1681950256
51,yellowknife,62.456,-114.3525,43.32,42,20,8.05,CA,1681950336
52,oranjemund,-28.55,16.4333,58.1,89,76,4.97,NA,1681950211
53,talnakh,69.4865,88.3972,7.21,96,95,7.4,RU,1681950197
54,coahuayana de hidalgo,18.7,-103.6583,82.33,59,27,6.04,MX,1681950337
55,crane,31.3974,-102.3501,89.06,7,0,16.51,US,1681950337
56,suwayr,30.1171,40.3893,74.34,28,76,8.93,SA,1681950337
57,ilulissat,69.2167,-51.1,23.02,80,100,3.44,GL,1681950181
58,wuhai,39.6647,106.8122,49.03,24,100,5.1,CN,1681950338
59,saldanha,-33.0117,17.9442,57.25,87,100,17.16,ZA,1681950338
60,la passe,45.5549,-0.8967,55.63,87,1,8.97,FR,1681950338
61,bethel,41.3712,-73.414,52.93,58,0,3.44,US,1681950338
62,papatowai,-46.5619,169.4708,59.34,69,63,1.14,NZ,1681950338
63,luganville,-15.5333,167.1667,83.55,72,90,6.33,VU,1681950338
64,saipan,15.1355,145.701,86.7,100,100,19.57,MP,1681950338
65,nova sintra,14.8667,-24.7167,68.83,76,96,16.62,CV,1681950339
66,stanley,54.868,-1.6985,42.89,94,0,4.61,GB,1681950339
67,mazagao,-0.115,-51.2894,80.65,93,99,2.55,BR,1681950339
68,ribeira brava,32.65,-17.0667,64.0,76,63,3.49,PT,1681950339
69,guihulngan,10.1214,123.2742,84.51,69,14,4.07,PH,1681950340
70,new norfolk,-42.7826,147.0587,60.3,82,100,1.99,AU,1681950163
71,dudinka,69.4058,86.1778,7.63,100,98,5.84,RU,1681950340
72,broken hill,-31.95,141.4333,57.09,52,0,17.67,AU,1681950170
73,ulladulla,-35.35,150.4667,62.76,72,94,9.66,AU,1681950340
74,olonkinbyen,70.9221,-8.7187,36.18,87,58,24.38,SJ,1681950340
75,iqaluit,63.7506,-68.5145,20.93,79,100,5.75,CA,1681950340
76,tazovsky,67.4667,78.7,5.76,99,93,4.74,RU,1681950341
77,kichmengskiy gorodok,59.9816,45.7854,36.03,93,3,3.24,RU,1681950072
78,albany,42.6001,-73.9662,39.34,70,93,8.59,US,1681950166
79,christchurch,-43.5333,172.6333,64.33,78,100,12.66,NZ,1681950341
80,port saint john's,-31.6229,29.5448,70.5,37,0,8.48,ZA,1681950341
81,petropavlovsk-kamchatsky,53.0452,158.6483,41.59,56,75,17.9,RU,1681950342
82,alofi,-19.0595,-169.9187,82.29,83,75,2.3,NU,1681950342
83,bilibino,68.0546,166.4372,29.86,84,100,3.2,RU,1681950342
84,margaret river,-33.95,115.0667,57.65,57,0,7.94,AU,1681950342
85,san antonio de pale,-1.4014,5.6325,82.76,82,99,9.66,GQ,1681950342
86,douentza,14.9951,-2.9517,86.4,8,86,3.85,ML,1681950342
87,bredasdorp,-34.5322,20.0403,61.27,67,100,4.74,ZA,1681950343
88,aasiaat,68.7098,-52.8699,5.02,93,76,2.55,GL,1681950343
89,trancas,-26.2314,-65.2803,59.72,68,0,1.32,AR,1681950343
90,urangan,-25.3,152.9,75.2,62,25,18.79,AU,1681950343
91,tual,-5.6667,132.75,82.9,72,48,9.4,ID,1681950343
92,crucecita,-28.95,-58.9833,61.47,50,1,6.82,AR,1681950343
93,puerto armuelles,8.2833,-82.8667,82.38,76,61,2.82,PA,1681950344
94,kerikeri,-35.2268,173.9474,70.92,96,90,1.01,NZ,1681950344
95,nar'yan-mar,67.6713,53.087,31.84,97,100,13.04,RU,1681950344
96,bonthe,7.5264,-12.505,81.48,83,39,3.96,SL,1681950344
97,lihue,21.9789,-159.3672,80.74,68,40,16.11,US,1681950345
98,kailua-kona,19.6406,-155.9956,75.51,93,100,31.07,US,1681950345
99,ladik,40.9106,35.8919,43.68,89,90,2.19,TR,1681950345
